Statistik,Wert
Gesamtdistanz (km),256.18
Minimalhöhe (m),-16.80
Maximalhöhe (m),141.40
Gesamter Aufstieg (m),1211.00
Gesamter Abstieg (m),1140.40
Gesamtdauer,0 days 09:46:30
Pausenzeit,0 days 00:00:00
Bewegungszeit,0 days 09:46:30
Ø Geschwindigkeit (km/h),26.21
Ø Geschw. in Bewegung (km/h),26.21
