Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Café Bistro Thaler arôme,cafe,"Via dei Portici - Laubengasse, 69, 39100, Bolzano - Bozen",46.499534,11.352756,,188
Lintner,cafe,"Via Leonardo da Vinci - Leonardo-da-Vinci-Straße, 8a, 39100, Bolzano - Bozen",46.499031,11.350576,,13
Drinking_water,drinking_water,39100,46.498361,11.356352,,5
Naturalis,supermarket,Adresse unbekannt,46.498285,11.356527,,3
Bento Sushi,restaurant,"Via dei Grappoli - Weintraubengasse, 21, 39100, Bolzano - Bozen",46.498829,11.356980,,0
Drinking_water,drinking_water,Adresse unbekannt,46.500190,11.355635,,126
Nuovo Antalya Pizza Kebab,restaurant,"Via della Rena - Raingasse, 3/d, 39100, Bolzano - Bozen",46.498264,11.356476,,3
Da Cesare,restaurant,"Via Dr. Julius Perathoner - Dr.-Julius-Perathoner-Straße, 15, 39100, Bolzano - Bozen",46.496804,11.355556,,59
Bar Miami,cafe,"Via Dr. Julius Perathoner - Dr.-Julius-Perathoner-Straße, 25, 39100, Bolzano - Bozen",46.496857,11.355773,,82
Dips - French Tacos & Salads,restaurant,"Via Dr. Julius Perathoner - Dr.-Julius-Perathoner-Straße, 29, 39100, Bolzano - Bozen",46.496910,11.355801,,85
El Cafetero,cafe,"Via Alto Adige - Südtiroler Straße, 36, 39100, Bolzano - Bozen",46.496446,11.354860,,25
Cafe,cafe,Adresse unbekannt,46.496756,11.355191,,18
Bamboo,restaurant,"Via dell'Isarco - Eisackstraße, 3b, 39100, Bolzano - Bozen",46.496722,11.353582,,114
Koi,restaurant,"Via Museo - Museumstraße, 29c, 39100, Bolzano - Bozen",46.499833,11.350591,,102
BiTi Bar,cafe,"Via Giuseppe Garibaldi - Giuseppe-Garibaldi-Straße, 36, 39100, Bolzano - Bozen",46.495392,11.355748,,49
Relax Cafe,cafe,"Via Alto Adige - Südtiroler Straße, 39100, Bolzano - Bozen",46.497122,11.355182,,16
Römerkeller,restaurant,"Via dei Grappoli - Weintraubengasse, 9b, 39100, Bolzano - Bozen",46.499135,11.356988,,6
La Piazza,restaurant,Adresse unbekannt,46.498176,11.355202,,6
GUL Indiana Pakistana Sapori D'Oriente,restaurant,"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse, 2, 39100, Bolzano - Bozen",46.500208,11.356607,,35
Café Monaco,cafe,"Piazza Domenicani - Dominikanerplatz, 12, 39100, Bolzano - Bozen",46.497064,11.352149,,78
Trattoria Toscana,restaurant,"Via dei Cappuccini - Kapuzinergasse, 8a, 39100, Bolzano - Bozen",46.496553,11.352216,,123
Drinking_water,drinking_water,Adresse unbekannt,46.500378,11.352896,,270
A.R.M.A.,restaurant,"Via Renon - Rittner Straße, 1",46.497340,11.359083,,268
Drinking_water,drinking_water,Adresse unbekannt,46.497325,11.353388,,49
Tirol,restaurant,Adresse unbekannt,46.500287,11.353335,,261
Anita,restaurant,"Piazza delle Erbe - Obstplatz, 5a",46.500133,11.353241,,253
Franziskaner,bakery,Adresse unbekannt,46.500526,11.353669,,265
ZenZero,restaurant,"Via Museo - Museumstraße, 15, 39100, Bolzano - Bozen",46.499464,11.351454,,86
Caffé Epulario,cafe,"Via della Rena - Raingasse, 1, 39100, Bolzano - Bozen",46.498401,11.356733,,1
Ristorante Speckstube,restaurant,Adresse unbekannt,46.498320,11.352330,,55
Tree Brasserie,restaurant,"Via Piave - Piavestraße, 15, 39100, Bolzano - Bozen",46.500200,11.357481,,85
Caffè Bavaria,cafe,"Galleria Stella - Sterngalerie, 8, 39100, Bolzano - Bozen",46.499976,11.356066,,74
Bar Italico,cafe,Adresse unbekannt,46.496687,11.358198,,245
Cafe unter den Lauben,cafe,"Via dei Portici - Laubengasse, Bolzano - Bozen",46.499589,11.354549,,135
Top Ramen,restaurant,Adresse unbekannt,46.497491,11.355217,,31
PimpGarage,bicycle,"Via dei Conciapelli - Gerbergasse, 67b, 39100, Bolzano - Bozen",46.499516,11.358445,,172
Trattoria Filo d'olio,restaurant,"Vicolo della Parrocchia - Pfarrgasse, 2a, 39100, Bolzano - Bozen",46.498870,11.353552,,122
Panella,cafe,"Piazza della Stazione - Bahnhofsplatz, 12, 39100, Bolzano - Bozen",46.496684,11.358758,,286
CAPITOL Caffè - Bar,cafe,"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse, 8, 39100, Bolzano - Bozen",46.500280,11.356051,,86
Solala - Ristorante asiatico,restaurant,"Via Alto Adige - Südtiroler Straße, 3/7, 39100, Bolzano - Bozen",46.497392,11.355104,,16
MPREIS,supermarket,"Via dei Grappoli - Weintraubengasse, 56, 39100, Bolzano - Bozen",46.498611,11.356735,,14
Cooper,cafe,Adresse unbekannt,46.499878,11.356924,,18
Bäckerei Franziskaner,bakery,Adresse unbekannt,46.501129,11.356769,,134
Drinking_water,drinking_water,39100,46.501214,11.356374,,149
Drinking_water,drinking_water,Adresse unbekannt,46.496875,11.355405,,42
Drinking_water,drinking_water,Adresse unbekannt,46.501689,11.355337,,250
Capsula coffee & tea,cafe,Adresse unbekannt,46.501643,11.356761,,190
In Viaggio,restaurant,Adresse unbekannt,46.500087,11.357514,,84
ENJOEY,cafe,Adresse unbekannt,46.499717,11.358386,,172
Waag,cafe,Adresse unbekannt,46.499514,11.355204,,131
Insushi,restaurant,Adresse unbekannt,46.498309,11.354046,,53
Corte,restaurant,Adresse unbekannt,46.498114,11.353815,,37
META,restaurant,Adresse unbekannt,46.498236,11.354261,,36
Coop,supermarket,"Piazza Walther - Waltherplatz, 13/7, Bolzano - Bozen",46.498230,11.354197,,40
Restaurant,restaurant,Adresse unbekannt,46.499097,11.353689,,137
37,restaurant,Adresse unbekannt,46.499312,11.354370,,110
Drinking_water,drinking_water,Adresse unbekannt,46.495881,11.353737,,70
Hackhofer,bakery,"Via dei Grappoli - Weintraubengasse, 6a",46.499086,11.356822,,6
Trattoria Filo d‘Olio,restaurant,Adresse unbekannt,46.498930,11.353519,,128
Drinking_water,drinking_water,Adresse unbekannt,46.497352,11.354607,,37
Drinking_water,drinking_water,Adresse unbekannt,46.498325,11.354760,,7
Pur,supermarket,Adresse unbekannt,46.498503,11.353761,,80
Loacker Moccaria,cafe,"Piazza Walther - Waltherplatz, 11, 39100, Bolzano - Bozen",46.498041,11.354304,,17
hurtig,bakery,"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse, 2, 39100, Bolzano - Bozen",46.500182,11.356699,,29
Kolpinghaus Bozen,restaurant,"Largo Adolph Kolping - Adolph-Kolping-Straße, 3, 39100, Bolzano - Bozen",46.497501,11.350474,,81
Caffe Thaler,cafe,"Via Dante - Dantestraße, 17, 39100",46.495888,11.349768,,97
Bar Stuzzicheria Casa di Gio',restaurant,Adresse unbekannt,46.493022,11.354563,,219
Drinking_water,drinking_water,Adresse unbekannt,46.495261,11.349987,,25
