Name,Typ,Adresse,Latitude,Longitude
Grandi,bakery,"Via dei Bottai - Bindergasse, 18, 39100, Bolzano - Bozen",46.5005135,11.3567391
Weinboutique Lisa,restaurant,"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse, 22a, 39100, Bolzano - Bozen",46.5001953,11.3544859
Bogen Bistro & Apartments,restaurant,"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse, 31, 39100, Bolzano - Bozen",46.5001011,11.354348
Tirol Pizzeria,restaurant,"Via dei Francescani - Franziskanergasse, 50, 39100, Bolzano - Bozen",46.5002752,11.3533404
Café Bistro Thaler arôme,cafe,"Via dei Portici - Laubengasse, 69, 39100, Bolzano - Bozen",46.499534,11.3527563
Lintner,cafe,"Via Leonardo da Vinci - Leonardo-da-Vinci-Straße, 8a, 39100, Bolzano - Bozen",46.4990313,11.3505763
Drinking_water,drinking_water,39100,46.498361,11.356352
Naturalis,supermarket,Adresse unbekannt,46.4982852,11.3565274
Bento Sushi,restaurant,"Via dei Grappoli - Weintraubengasse, 21, 39100, Bolzano - Bozen",46.4988293,11.35698
Cafe Niessing,cafe,Adresse unbekannt,46.4994646,11.3596389
Drinking_water,drinking_water,Adresse unbekannt,46.5001903,11.3556346
Nuovo Antalya Pizza Kebab,restaurant,"Via della Rena - Raingasse, 3/d, 39100, Bolzano - Bozen",46.498264,11.3564755
Da Cesare,restaurant,"Via Dr. Julius Perathoner - Dr.-Julius-Perathoner-Straße, 15, 39100, Bolzano - Bozen",46.4968042,11.3555559
Bar Miami,cafe,"Via Dr. Julius Perathoner - Dr.-Julius-Perathoner-Straße, 25, 39100, Bolzano - Bozen",46.4968566,11.3557729
Dips - French Tacos & Salads,restaurant,"Via Dr. Julius Perathoner - Dr.-Julius-Perathoner-Straße, 29, 39100, Bolzano - Bozen",46.4969097,11.3558006
El Cafetero,cafe,"Via Alto Adige - Südtiroler Straße, 36, 39100, Bolzano - Bozen",46.4964456,11.3548604
Cafe,cafe,Adresse unbekannt,46.496756,11.3551905
Bamboo,restaurant,"Via dell'Isarco - Eisackstraße, 3b, 39100, Bolzano - Bozen",46.4967222,11.3535815
Koi,restaurant,"Via Museo - Museumstraße, 29c, 39100, Bolzano - Bozen",46.4998327,11.3505913
BiTi Bar,cafe,"Via Giuseppe Garibaldi - Giuseppe-Garibaldi-Straße, 36, 39100, Bolzano - Bozen",46.4953919,11.355748
Relax Cafe,cafe,"Via Alto Adige - Südtiroler Straße, 39100, Bolzano - Bozen",46.497122,11.3551815
Römerkeller,restaurant,"Via dei Grappoli - Weintraubengasse, 9b, 39100, Bolzano - Bozen",46.4991347,11.3569879
La Piazza,restaurant,Adresse unbekannt,46.4981765,11.3552024
GUL Indiana Pakistana Sapori D'Oriente,restaurant,"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse, 2, 39100, Bolzano - Bozen",46.500208,11.3566066
Café Monaco,cafe,"Piazza Domenicani - Dominikanerplatz, 12, 39100, Bolzano - Bozen",46.4970641,11.3521494
Trattoria Toscana,restaurant,"Via dei Cappuccini - Kapuzinergasse, 8a, 39100, Bolzano - Bozen",46.4965534,11.3522162
Drinking_water,drinking_water,Adresse unbekannt,46.5003777,11.3528959
A.R.M.A.,restaurant,"Via Renon - Rittner Straße, 1",46.4973397,11.3590831
Jona Ristorante,restaurant,"Via Francesco Crispi - Francesco-Crispi-Straße, 38, 39100",46.4988105,11.3602469
Drinking_water,drinking_water,Adresse unbekannt,46.497325,11.353388
Tirol,restaurant,Adresse unbekannt,46.5002866,11.3533352
Anita,restaurant,"Piazza delle Erbe - Obstplatz, 5a",46.5001331,11.3532407
Franziskaner,bakery,Adresse unbekannt,46.5005259,11.3536686
ZenZero,restaurant,"Via Museo - Museumstraße, 15, 39100, Bolzano - Bozen",46.4994642,11.351454
Caffé Epulario,cafe,"Via della Rena - Raingasse, 1, 39100, Bolzano - Bozen",46.4984013,11.3567331
Ristorante Speckstube,restaurant,Adresse unbekannt,46.4983199,11.35233
Tree Brasserie,restaurant,"Via Piave - Piavestraße, 15, 39100, Bolzano - Bozen",46.5002,11.357481
Caffè Bavaria,cafe,"Galleria Stella - Sterngalerie, 8, 39100, Bolzano - Bozen",46.4999758,11.3560659
Bar Italico,cafe,Adresse unbekannt,46.4966867,11.3581979
Cafe unter den Lauben,cafe,"Via dei Portici - Laubengasse, Bolzano - Bozen",46.4995889,11.3545492
Top Ramen,restaurant,Adresse unbekannt,46.4974909,11.3552166
La Piazzetta,cafe,"Via Brennero - Brennerstraße, 1c, 39100, Bolzano - Bozen",46.5003784,11.3611435
PimpGarage,bicycle,"Via dei Conciapelli - Gerbergasse, 67b, 39100, Bolzano - Bozen",46.4995165,11.3584453
Novo,supermarket,Adresse unbekannt,46.5030519,11.3562984
Trattoria Filo d'olio,restaurant,"Vicolo della Parrocchia - Pfarrgasse, 2a, 39100, Bolzano - Bozen",46.4988703,11.3535519
Panella,cafe,"Piazza della Stazione - Bahnhofsplatz, 12, 39100, Bolzano - Bozen",46.4966841,11.3587579
CAPITOL Caffè - Bar,cafe,"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse, 8, 39100, Bolzano - Bozen",46.5002803,11.3560514
Solala - Ristorante asiatico,restaurant,"Via Alto Adige - Südtiroler Straße, 3/7, 39100, Bolzano - Bozen",46.4973925,11.3551037
Drinking_water,drinking_water,Adresse unbekannt,46.499718,11.361939
MPREIS,supermarket,"Via dei Grappoli - Weintraubengasse, 56, 39100, Bolzano - Bozen",46.4986109,11.3567355
Cooper,cafe,Adresse unbekannt,46.4998783,11.3569236
Bäckerei Franziskaner,bakery,Adresse unbekannt,46.5011293,11.3567688
Drinking_water,drinking_water,39100,46.501214,11.356374
Drinking_water,drinking_water,Adresse unbekannt,46.496875,11.355405
Drinking_water,drinking_water,Adresse unbekannt,46.501689,11.3553371
Capsula coffee & tea,cafe,Adresse unbekannt,46.5016426,11.3567615
Caffé Helma's,cafe,Adresse unbekannt,46.5003839,11.3610509
In Viaggio,restaurant,Adresse unbekannt,46.500087,11.357514
ENJOEY,cafe,Adresse unbekannt,46.4997172,11.3583857
Waag,cafe,Adresse unbekannt,46.4995139,11.3552043
Insushi,restaurant,Adresse unbekannt,46.4983092,11.3540464
Corte,restaurant,Adresse unbekannt,46.4981139,11.3538152
META,restaurant,Adresse unbekannt,46.4982361,11.354261
Coop,supermarket,"Piazza Walther - Waltherplatz, 13/7, Bolzano - Bozen",46.4982296,11.3541966
Restaurant,restaurant,Adresse unbekannt,46.4990968,11.353689
37,restaurant,Adresse unbekannt,46.4993122,11.3543699
Drinking_water,drinking_water,Adresse unbekannt,46.495881,11.353737
Hackhofer,bakery,"Via dei Grappoli - Weintraubengasse, 6a",46.4990863,11.356822
Trattoria Filo d‘Olio,restaurant,Adresse unbekannt,46.4989298,11.3535194
Drinking_water,drinking_water,Adresse unbekannt,46.497352,11.354607
Drinking_water,drinking_water,Adresse unbekannt,46.4983252,11.35476
Pur,supermarket,Adresse unbekannt,46.4985027,11.3537608
Loacker Moccaria,cafe,"Piazza Walther - Waltherplatz, 11, 39100, Bolzano - Bozen",46.498041,11.3543041
hurtig,bakery,"Via Dr. Josef Streiter - Dr.-Josef-Streiter-Gasse, 2, 39100, Bolzano - Bozen",46.500182,11.3566994
Kolpinghaus Bozen,restaurant,"Largo Adolph Kolping - Adolph-Kolping-Straße, 3, 39100, Bolzano - Bozen",46.4975013,11.3504741
Caffe Thaler,cafe,"Via Dante - Dantestraße, 17, 39100",46.4958884,11.3497678
Bar Stuzzicheria Casa di Gio',restaurant,Adresse unbekannt,46.4930216,11.3545635
Drinking_water,drinking_water,Adresse unbekannt,46.495261,11.349987
Grissino,restaurant,Adresse unbekannt,46.4932129,11.3610829
Pizza Call,restaurant,"Via Guglielmo Marconi - Guglielmo-Marconi-Straße, 21, 39100, Bozen",46.4950091,11.3505333
Electric bike Center,bicycle,"Piazza Giuseppe Verdi - Giuseppe-Verdi-Platz, 7, 39100, Bolzano - Bozen",46.4946713,11.3537619
Bar-Bistro Pizzeria Safran,restaurant,"Via Guglielmo Marconi - Guglielmo-Marconi-Straße, 1a, 39100, Bolzano - Bozen",46.4952769,11.3524559
Sushi Il Milione,restaurant,"Via Guglielmo Marconi - Guglielmo-Marconi-Straße, 13b, 39100, Bolzano - Bozen",46.4950754,11.3511434
Bar da Rolly,cafe,"Via del Macello - Schlachthofstraße, 63, 39100, Bolzano - Bozen",46.49432,11.3587394
Drinking_water,drinking_water,Adresse unbekannt,46.493329,11.351468
Drinking_water,drinking_water,Adresse unbekannt,46.492827,11.352643
Caffè Benetti,cafe,"Via Napoli - Neapelstraße, 9, 39100",46.4930242,11.3432497
Drinking_water,drinking_water,Adresse unbekannt,46.4917534,11.3445582
Drinking_water,drinking_water,Adresse unbekannt,46.498226,11.34634
Café Londra,cafe,"Via Dante - Dantestraße, 1, 39100, Bolzano - Bozen",46.4974656,11.3493947
Café Museion,restaurant,"Piazza Piero Siena - Piero-Siena-Platz, 3, 39100",46.4973958,11.34815
La Veneziana,restaurant,"Viale Venezia - Venediger Straße, 59a, 39100, Bolzano - Bozen",46.4952347,11.3456967
Ristorante indiano Maharaja,restaurant,"Viale Druso - Drususallee, 6, 39100",46.4948176,11.3460319
Eurac Cafe,cafe,"Viale Druso - Drususallee, 1a, 39100, Bolzano - Bozen",46.4939849,11.34752
Degustibus,cafe,Adresse unbekannt,46.4981812,11.3478966
Pizzeria Tortuga,restaurant,"Piazzetta Questore Renato Mazzoni - Polizeidirektor-Renato-Mazzoni-Platz, 9, 39100, Bolzano - Bozen",46.4951705,11.3470288
Turci,bicycle,"Via Firenze - Florenzstraße, 30, 39100, Bolzano - Bozen",46.4930988,11.3427714
Dom ristorante al bocciodromo,restaurant,Adresse unbekannt,46.4932276,11.3462056
Bocciodromo,cafe,"Viale Trieste - Triester Straße, 17, 39100, Bolzano - Bozen",46.4933361,11.3463188
Fujiya - China Town,restaurant,"Via Cassa di Risparmio - Sparkassenstraße, 20a, 39100, Bolzano - Bozen",46.4987697,11.3489718
Drinking_water,drinking_water,Adresse unbekannt,46.49669,11.347754
Caffè Gelateria Eisberg,cafe,"Via Firenze - Florenzstraße, 13, 39100, Bolzano - Bozen",46.4930559,11.3431316
Drinking_water,drinking_water,Adresse unbekannt,46.4988,11.347385
Premiere Bio pasticceria e pane,bakery,Adresse unbekannt,46.4937215,11.3431361
DOCTOR BIKE,bicycle,Adresse unbekannt,46.4944653,11.3432346
Maradona,restaurant,Adresse unbekannt,46.4954492,11.3456758
Zanolini,bicycle,Adresse unbekannt,46.4918568,11.3400657
MD,supermarket,Adresse unbekannt,46.4917412,11.3422122
Tapas Cafe,cafe,Adresse unbekannt,46.4907783,11.3424532
Cafè Sissy,cafe,"Via Roma - Romstraße, 83, 39100, Bolzano - Bozen",46.4907376,11.3422083
Pizzeria Angolo Moretti,restaurant,"Via Torino - Turinstraße, 1, 39100, Bolzano - Bozen",46.4917018,11.3413017
Zio Alfonso,restaurant,"Viale Druso - Drususallee, 50, 39100, Bolzano - Bozen",46.4954529,11.3356454
Pizza Vesuvio,restaurant,Adresse unbekannt,46.4911453,11.3435042
Eurospar,supermarket,Adresse unbekannt,46.4932955,11.3400983
Stella d'oro di Rocco e Patrizia,restaurant,Adresse unbekannt,46.4920941,11.3404337
Pizzeria Al Cantuccio,restaurant,"Via della Visitazione - Mariaheimweg, 4e, 39100, Bolzano - Bozen",46.4962259,11.3373872
Mr. Ye Asia World,restaurant,"Via Amba Alagi - Amba-Alagi-Straße, 26/b, 39100",46.4985744,11.341183
Paula,cafe,Adresse unbekannt,46.4986594,11.3410449
