Latitude,Longitude
46.499575,11.356825
46.498958,11.35688
46.49841,11.356332
46.498147,11.35486
46.4979,11.354505
46.497612,11.35486
46.497177,11.355023
46.495445,11.355173
46.49491,11.35543
46.495475,11.352693
46.494835,11.34876
46.494705,11.346265
46.49477,11.341785
46.495097,11.33922
46.495292,11.335462
46.494137,11.314595
46.493857,11.314032
46.493907,11.312192
46.49378,11.311203
46.493568,11.310878
46.49361,11.310408
46.492413,11.30768
46.489343,11.303792
46.488732,11.302558
46.488078,11.302262
46.486505,11.300468
46.485025,11.299617
46.484925,11.299193
46.486558,11.294273
46.488557,11.288938
46.489153,11.2882
46.489905,11.287597
46.492082,11.286793
46.493407,11.285815
46.494252,11.284628
46.49718,11.279513
46.498132,11.276737
46.49858,11.272415
46.49913,11.270958
46.499635,11.270095
46.50065,11.269197
46.50902,11.264402
46.510182,11.263452
46.511283,11.261813
46.5151,11.253433
46.516963,11.251555
46.518908,11.24872
46.520213,11.247377
46.532128,11.240267
46.533878,11.238792
46.535973,11.236537
46.538113,11.235002
46.539315,11.23438
46.540782,11.233133
46.541815,11.231552
46.543677,11.226565
46.544402,11.225428
46.54519,11.224983
46.548155,11.22441
46.54916,11.223935
46.550512,11.22278
46.551767,11.22088
46.552395,11.220188
46.553078,11.219747
46.555265,11.218892
46.556698,11.21771
46.557818,11.217603
46.55959,11.218607
46.560657,11.218733
46.561492,11.218472
46.562435,11.217812
46.567232,11.212552
46.568012,11.211487
46.569225,11.209095
46.572247,11.202083
46.573338,11.200387
46.580748,11.19211
46.582273,11.190828
46.583872,11.189888
46.583648,11.189973
46.58353,11.189788
46.58381,11.189927
46.58656,11.188713
46.58892,11.188023
46.591867,11.187562
46.595367,11.18734
46.597778,11.18679
46.604428,11.184515
46.609373,11.181358
46.610345,11.181112
46.611285,11.181238
46.612042,11.181547
46.614213,11.183632
46.615942,11.18454
46.618823,11.184845
46.620355,11.184563
46.621767,11.183873
46.629495,11.179332
46.630828,11.178
46.634068,11.173495
46.63495,11.17284
46.635535,11.17314
46.637683,11.172038
46.640375,11.172125
46.642038,11.172638
46.642975,11.173172
46.647732,11.176758
46.647943,11.176607
46.648368,11.17699
46.648925,11.17695
46.649817,11.176372
46.650992,11.175147
46.652838,11.174773
46.65325,11.174022
46.654222,11.171232
46.6567,11.168113
46.658097,11.166538
46.658848,11.165933
46.65948,11.165507
46.660825,11.165162
46.662282,11.16385
46.66329,11.164655
46.663512,11.165803
46.664275,11.166793
46.66494,11.16898
46.665312,11.16933
46.66571,11.170128
46.66626,11.169775
46.667145,11.169542
46.668825,11.168288
46.669397,11.169052
46.67011,11.169285
46.670562,11.16965
46.671222,11.17071
46.672068,11.170942
46.672978,11.172487
46.673587,11.17294
46.674977,11.172862
46.676315,11.171804
46.677827,11.171125
46.678272,11.171087
46.679707,11.171605
46.680557,11.171408
46.684993,11.173588
46.685805,11.173662
46.68678,11.173997
46.688157,11.175077
46.68897,11.175512
46.689765,11.174308
46.690462,11.173878
46.692665,11.172998
46.692737,11.174007
46.692403,11.174802
46.692398,11.175418
46.692963,11.175483
46.694418,11.176257
46.695155,11.176083
46.6963,11.176605
46.69707,11.176483
46.697882,11.176627
46.699535,11.178497
46.701068,11.179693
46.70163,11.180375
46.702248,11.180732
46.702862,11.180728
46.703218,11.18089
46.704477,11.183457
46.705137,11.184382
46.70675,11.185532
46.707427,11.185692
46.708005,11.185295
46.70824,11.185335
46.708347,11.185975
46.707988,11.187093
46.70818,11.187448
46.709567,11.187675
46.710418,11.187443
46.711345,11.18766
46.712213,11.188258
46.713302,11.188335
46.713773,11.189167
46.71447,11.189372
46.715057,11.189058
46.715632,11.190315
46.716322,11.189992
46.71682,11.190407
46.717695,11.190363
46.718337,11.190892
46.719037,11.191033
46.71983,11.191568
46.721067,11.191278
46.722175,11.191808
46.723857,11.193725
46.72483,11.194142
46.725345,11.195888
46.725893,11.196552
46.726358,11.197717
46.727238,11.19923
46.727918,11.199743
46.728435,11.19948
46.728743,11.199522
46.729607,11.200658
46.730432,11.200582
46.731225,11.19951
46.73209,11.199097
46.737105,11.199743
46.739432,11.201422
46.741928,11.204342
46.743027,11.204895
46.745493,11.204725
46.74616,11.20509
46.74639,11.205273
46.747705,11.207937
46.748052,11.208122
46.748453,11.208028
46.748968,11.207075
46.749645,11.206487
46.751085,11.205988
46.751215,11.206047
46.751195,11.206287
46.75114,11.206077
46.751513,11.205943
46.754205,11.206307
46.755485,11.20701
46.757555,11.206983
46.758222,11.207195
46.763322,11.21066
46.764725,11.212402
46.7655,11.214548
46.76682,11.214543
46.76784,11.215023
46.769197,11.216758
46.770383,11.217183
46.771452,11.217023
46.771957,11.21711
46.772825,11.217642
46.774868,11.218233
46.775777,11.218723
46.77615,11.21921
46.776878,11.220962
46.778185,11.222735
46.778618,11.2245
46.779188,11.225377
46.780522,11.226762
46.785243,11.229805
46.786357,11.230742
46.787303,11.231155
46.788297,11.231203
46.789945,11.230553
46.791252,11.230917
46.792335,11.230178
46.792805,11.230232
46.794482,11.232243
46.795315,11.232952
46.796427,11.233262
46.79782,11.234362
46.798382,11.235655
46.799237,11.236532
46.799732,11.237448
46.800268,11.237937
46.801063,11.238175
46.802065,11.238937
46.802622,11.239692
