Ort,Vorkommen,Strecke im Ort (km)
Bozen,66,
Siebeneich,11,
Vilpian,17,
Terlan,6,
Gargazon,13,
Burgstall,13,
Meran,40,
Tirol,18,
Kuens,5,
Riffian,41,
Saltaus,6,
Quellenhof,23,
St. Martin in Passeier,26,
St. Leonhard in Passeier,70,
Walten,136,
Ratschings,52,
Pardaun,32,
Stange,37,
Gasteig,5,
Sterzing,28,
Freienfeld,167,
Sarntal,201,
Jenesien,4,
Afing,11,
