Ort,Vorkommen,Strecke im Ort (km)
Sarntal,201,
Freienfeld,167,
Walten,136,
St. Leonhard in Passeier,70,
Bozen,66,
Ratschings,52,
Riffian,41,
Meran,40,
Stange,37,
Pardaun,32,
Sterzing,28,
St. Martin in Passeier,26,
Quellenhof,23,
Tirol,18,
Vilpian,17,
Burgstall,13,
Gargazon,13,
Siebeneich,11,
Afing,11,
Saltaus,6,
Terlan,6,
Gasteig,5,
Kuens,5,
Jenesien,4,
