Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
New Balochistan Barmbek,restaurant,"Fuhlsbüttler Straße, 172a, 22305, Hamburg",53.592340,10.044522,,29
Simit Factory,cafe,Adresse unbekannt,53.590225,10.044713,,132
Leontes,cafe,"Fuhlsbüttler Straße, 116, 22305, Hamburg",53.589430,10.045747,,260
Copenhagen Coffee Lab,cafe,"Fuhlsbüttler Straße, 132, 22305, Hamburg",53.590506,10.045183,,127
Fahrrad Diedrich,bicycle,"Fuhlsbüttler Straße, 132, 22305, Hamburg",53.590374,10.045244,,142
Saigon Café,restaurant,"Fuhlsbüttler Straße, 128, 22305, Hamburg",53.590210,10.045322,,162
Marina,restaurant,"Fuhlsbüttler Straße, 167, 22307, Hamburg",53.593492,10.043976,,32
Soul Sushi Barmbek,restaurant,"Fuhlsbüttler Straße, 174, 22305, Hamburg",53.592599,10.044549,,29
Café NEON,cafe,"Fuhlsbüttler Straße, 163, 22305, Hamburg",53.592505,10.043976,,32
MalinaStories Café,cafe,"Hellbrookstraße, 61, 22305, Hamburg",53.591613,10.045701,,140
MalinaStories Bakery,bakery,"Schwalbenstraße, 57, 22305, Hamburg",53.591776,10.046527,,234
Gräber Räder,bicycle,"Fuhlsbüttler Straße, 269, 22307, Hamburg",53.597811,10.042109,,29
Orchideen Palast,restaurant,"Fuhlsbüttler Straße, 236, 22307, Hamburg",53.596644,10.043578,,36
Kamiros,restaurant,"Fuhlsbüttler Straße, 256, 22307, Hamburg",53.597758,10.042806,,29
Eiscafé Tanduo,cafe,"Fuhlsbüttler Straße, 291, 22307, Hamburg",53.599389,10.040979,,34
Aroma,restaurant,"Fuhlsbüttler Straße, 227, 22307, Hamburg",53.596010,10.043161,,31
Spezzagrano,restaurant,"Fuhlsbüttler Straße, 300, 22307, Hamburg",53.599056,10.041814,,28
Poké Pao,restaurant,"Fuhlsbüttler Straße, 328, 22307, Hamburg",53.600376,10.041386,,30
SUSHIMEN,restaurant,"Fuhlsbüttler Straße, 332, 22307, Hamburg",53.600572,10.041385,,33
Kalivrisi,restaurant,"Fuhlsbüttler Straße, 466, 22309, Hamburg",53.606243,10.039631,,31
REWE,supermarket,"Fuhlsbüttler Straße, 387, 22309, Hamburg",53.601767,10.040567,,35
Aldi,supermarket,"Fuhlsbüttler Straße, 334, 22307, Hamburg",53.600858,10.041388,,39
Café May,cafe,"Fuhlsbüttler Straße, 402, 22309, Hamburg",53.602574,10.041061,,33
Denns BioMarkt,supermarket,"Fuhlsbüttler Straße, 397, 22309, Hamburg",53.602472,10.040019,,81
