Statistik,Wert
Gesamtdistanz (km),153.31
Minimalhöhe (m),-0.52
Maximalhöhe (m),73.86
Gesamter Aufstieg (m),583.38
Gesamter Abstieg (m),588.98
Gesamtdauer,0 days 09:27:37
Pausenzeit,0 days 00:00:00
Bewegungszeit,0 days 09:27:37
Ø Geschwindigkeit (km/h),16.21
Ø Geschw. in Bewegung (km/h),16.21
