Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center
Campiglia Marittima,85,,43.060628,10.615496
Suvereto,110,,43.079015,10.678681
Follonica,21,,42.926326,10.761625
Piombino,41,,42.923166,10.526819
Scarlino,71,,42.907402,10.851975
Puntone di Scarlino,26,,42.889303,10.790796
Castiglione della Pescaia,173,,42.763930,10.879092
Vetulonia,11,,,
Buriano,2,,42.845210,10.988572
