Ort,Vorkommen,Strecke im Ort (km)
Castiglione d'Orcia,177,
Montalcino,172,
Roccastrada,92,
Pienza,56,
Cinigiano,42,
Paganico,32,
Grosseto,26,
Dogana,22,
Buriano,18,
Bagno Vignoni,10,
Castiglione della Pescaia,8,
Gavorrano,8,
Castel del Piano,7,
Giuncarico,5,
Porrona,4,
Castellaccia,2,
