Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center
Siena,36,,43.167206,11.467561
Monteriggioni,97,,43.389977,11.223594
Strove,37,,43.379640,11.172208
Colle di Val d'Elsa,90,,43.422637,11.126386
San Gimignano,64,,43.467799,11.043211
