Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Pizzeria Ai Portici,restaurant,"Strada delle Ropole, 44, 53100, Taverne d'Arbia",43.295022,11.392183,,156
Drinking_water,drinking_water,Adresse unbekannt,43.289138,11.376656,,5
Bar 4002,cafe,"Viale Europa, 27, 53100, Siena",43.310059,11.359262,,212
Agri Bistrò,restaurant,"Via delle Arti, 10, 53100, Siena",43.310176,11.360283,,305
Drinking_water,drinking_water,Adresse unbekannt,43.315546,11.337796,,134
Hostaria Il Rialto,restaurant,"Via del Rialto, 4, 53100, Siena",43.318025,11.333666,,80
La Bottega Del Caffè,cafe,"Via Banchi di Sotto, 39, 53100, Siena",43.319254,11.332226,,4
Forno San Marco,bakery,Adresse unbekannt,43.317194,11.336850,,5
Trattoria La Torre,restaurant,"Via di Salicotto, 7, 53100, Siena",43.318315,11.332382,,94
Caffe' Sandy,cafe,"Via di Salicotto, 21, 53100, Siena",43.318178,11.332672,,99
Forno Delle Campane,bakery,"Via di Salicotto, 23, 53100, Siena",43.318145,11.332737,,100
Caffè Le Logge,cafe,"Via di Pantaneto, 11, 53100, Siena",43.318798,11.333805,,5
Philadelphia Bar,cafe,"Via di Pantaneto, 24, 53100, Siena",43.318516,11.334192,,6
La Prosciutteria Crudi e Bollicine,restaurant,"Via di Pantaneto, 89, 53100, Siena",43.318053,11.335293,,7
La Mossa,restaurant,"Il Campo, 29, 53100, Siena",43.318417,11.330778,,60
Drinking_water,drinking_water,Adresse unbekannt,43.318623,11.331387,,54
Drinking_water,drinking_water,Adresse unbekannt,43.316251,11.331831,,312
Drinking_water,drinking_water,Adresse unbekannt,43.318701,11.331526,,52
Locanda dell'Oste,restaurant,"Via di Porta Giustizia, 6, 53100, Siena",43.316675,11.332968,,247
Drinking_water,drinking_water,Adresse unbekannt,43.317570,11.333688,,125
Hosteria Il Carroccio,restaurant,"Via del Casato di Sotto, 32, Siena",43.317318,11.331410,,186
