Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center
Montecatini Val di Cecina,239,,43.392817,10.749093
Pomarance,154,,43.299237,10.872401
Canneto,69,,40.546986,15.200447
Monteverdi Marittimo,71,,43.177332,10.714431
Monterotondo Marittimo,10,,43.145553,10.855834
Suvereto,43,,43.079015,10.678681
Campiglia Marittima,30,,43.060628,10.615496
