Ort,Vorkommen,Strecke im Ort (km)
Buriano,18,
Castiglione della Pescaia,8,
Gavorrano,8,
Castellaccia,2,
Giuncarico,5,
Roccastrada,92,
Paganico,32,
Grosseto,26,
Dogana,22,
Cinigiano,42,
Porrona,4,
Castel del Piano,7,
Montalcino,172,
Castiglione d'Orcia,177,
Bagno Vignoni,10,
Pienza,56,
