Statistik,Wert
Gesamtdistanz (km),46.20
Minimalhöhe (m),112.70
Maximalhöhe (m),370.20
Gesamter Aufstieg (m),708.30
Gesamter Abstieg (m),759.50
Gesamtdauer,0 days 03:48:47
Pausenzeit,0 days 00:00:00
Bewegungszeit,0 days 03:48:47
Ø Geschwindigkeit (km/h),12.12
Ø Geschw. in Bewegung (km/h),12.12
