Statistik,Wert
Gesamtdistanz (km),96.57
Minimalhöhe (m),1.80
Maximalhöhe (m),276.10
Gesamter Aufstieg (m),1017.10
Gesamter Abstieg (m),1912.80
Gesamtdauer,0 days 06:35:09
Pausenzeit,0 days 00:17:41
Bewegungszeit,0 days 06:17:28
Ø Geschwindigkeit (km/h),14.66
Ø Geschw. in Bewegung (km/h),15.35
