Statistik,Wert
Gesamtdistanz (km),46.17
Minimalhöhe (m),112.70
Maximalhöhe (m),370.20
Gesamter Aufstieg (m),707.90
Gesamter Abstieg (m),759.50
Gesamtdauer,0 days 03:48:47
Pausenzeit,0 days 00:00:00
Bewegungszeit,0 days 03:48:47
Ø Geschwindigkeit (km/h),12.11
Ø Geschw. in Bewegung (km/h),12.11
