Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center,Nächster_Punkt_Index,Nächster_Punkt_Distanz_km,Nächster_Punkt_Hoehe_m,Distanz_Center_zu_Route_m
San Gimignano,108,,43.468,11.043,0,0.000,285.100,515.764
Montecatini Val di Cecina,50,,43.393,10.749,935,45.263,384.000,52.121
