Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center,Nächster_Punkt_Index,Nächster_Punkt_Distanz_km,Nächster_Punkt_Hoehe_m,Distanz_Center_zu_Route_m
Montecatini Val di Cecina,239,,43.393,10.749,0,0.000,396.500,124.350
Suvereto,43,,43.079,10.679,1711,67.512,70.300,260.732
