Ort,Vorkommen,Strecke im Ort (km)
Montalcino,99,
Pienza,79,
Siena,76,
Monteroni d'Arbia,69,
Buonconvento,56,
Arbia,45,
Trequanda,15,
San Quirico d'Orcia,5,
Asciano,2,
