Statistik,Wert
Gesamtdistanz (km),77.09
Minimalhöhe (m),11.10
Maximalhöhe (m),494.80
Gesamter Aufstieg (m),885.30
Gesamter Abstieg (m),1398.10
Gesamtdauer,0 days 06:29:14
Pausenzeit,0 days 01:08:31
Bewegungszeit,0 days 05:20:43
Ø Geschwindigkeit (km/h),11.88
Ø Geschw. in Bewegung (km/h),14.42
