Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center
San Gimignano,108,,43.467799,11.043211
Volterra,161,,43.400337,10.860019
Lajatico,27,,43.475418,10.728284
Montecatini Val di Cecina,50,,43.392817,10.749093
