Ort,Vorkommen,Strecke im Ort (km)
Pienza,79,
Trequanda,15,
San Quirico d'Orcia,5,
Montalcino,99,
Buonconvento,56,
Monteroni d'Arbia,69,
Asciano,2,
Arbia,45,
Siena,76,
