Statistik,Wert
Gesamtdistanz (km),45.51
Minimalhöhe (m),86.40
Maximalhöhe (m),604.40
Gesamter Aufstieg (m),1015.40
Gesamter Abstieg (m),904.00
Gesamtdauer,0 days 04:21:49
Pausenzeit,0 days 00:00:00
Bewegungszeit,0 days 04:21:49
Ø Geschwindigkeit (km/h),10.43
Ø Geschw. in Bewegung (km/h),10.43
