Statistik,Wert
Gesamtdistanz (km),105.61
Minimalhöhe (m),5.70
Maximalhöhe (m),600.80
Gesamter Aufstieg (m),1805.80
Gesamter Abstieg (m),1382.60
Gesamtdauer,0 days 09:01:07
Pausenzeit,0 days 00:00:00
Bewegungszeit,0 days 09:01:07
Ø Geschwindigkeit (km/h),11.71
Ø Geschw. in Bewegung (km/h),11.71
