Ort,Vorkommen,Strecke im Ort (km)
Montecatini Val di Cecina,239,
Pomarance,154,
Monteverdi Marittimo,71,
Canneto,69,
Suvereto,43,
Campiglia Marittima,30,
Monterotondo Marittimo,10,
