Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center
Pienza,79,,43.076549,11.678908
Trequanda,15,,43.188939,11.667385
San Quirico d'Orcia,5,,43.060395,11.603645
Montalcino,99,,43.057558,11.490282
Buonconvento,56,,43.138188,11.482096
Monteroni d'Arbia,69,,43.231094,11.421452
Asciano,2,,43.234775,11.559423
Arbia,45,,43.294376,11.409812
Siena,76,,43.167206,11.467561
