Name,Typ,Adresse,Latitude,Longitude
Gusti Continentali,cafe,"Via dei Rossi, 107, 53100, Siena",43.3219076,11.3325922
Liberamente Osteria,restaurant,"Il Campo, 27, 53100, Siena",43.3183462,11.3308556
Morbidi,cafe,"Banchi di Sopra, 75, 53100, Siena",43.3207619,11.3306937
Il Cavaliere Errante,restaurant,"Piazza Provenzano, 3, 53100, Siena",43.3204834,11.3322338
L'Osteria del Bigelli,restaurant,"Il Campo, 60, 53100, Siena",43.3189621,11.3320864
Osteria Cice,restaurant,"Via San Pietro, 32, 53100, Siena",43.3158742,11.3301432
Du' Versi,restaurant,"Via dei Rossi, 82, 53100, Siena",43.3217955,11.33267
Key Largo,cafe,"Via Rinaldini, 17, 53100, Siena",43.318804,11.3325959
Caffetteria del Santa Maria Della Scala,cafe,"53100, Siena",43.3169147,11.3287961
La Casa del Caffè,cafe,"Via di Diacceto, 18;20, 53100, Siena",43.3189039,11.3298391
Bar osteria Il Bargello,restaurant,"Via di Città, 55, 53100, Siena",43.3179057,11.3307822
Pizzeria 4 Cantoni,restaurant,"5, 53100, Siena",43.3161648,11.3298054
Osteria Permalico,restaurant,"Costa Larga, 4, 53100, Siena",43.3163738,11.330035
Drinking_water,drinking_water,Adresse unbekannt,43.3147375,11.3309188
Quattro Cantoni,cafe,"Via di Città, 134;137, 53100, Siena",43.3163096,11.3299902
La Finestra,restaurant,"Piazza del Mercato, 14, 53100, Siena",43.317417,11.3323194
Osteria degli Svitati,restaurant,"Via della Galluzza, 34, 53100, Siena",43.3196574,11.3292805
Te Ke Voi?,restaurant,"Vicolo San Pietro, 4, 53100, Siena",43.3189899,11.3312626
Ai Fusari Bistrot,restaurant,"Via dei Fusari, 26, 53100, Siena",43.3180341,11.3284367
Ristorante Al Mangia,restaurant,"Il Campo, 43, 53100, Siena",43.318832,11.3312532
Caffè L'Accademia,cafe,"Via di Città, 103, 53100, Siena",43.3168439,11.3305748
Forno Sclavi,bakery,"53100, Siena",43.3173148,11.3365855
Drinking_water,drinking_water,Adresse unbekannt,43.3172866,11.3326396
Cor Magis,cafe,"Via del Porrione, 3, 53100, Siena",43.3186098,11.3327067
Il Bandierino,restaurant,"Il Campo, 64;66, 53100, Siena",43.3188231,11.3324064
Panificio Sclavi,bakery,"Il Campo, 56, 53100, Siena",43.3190308,11.3318933
Manganelli,restaurant,"Il Campo, 54, 53100, Siena",43.3190103,11.3317209
Il Campo,restaurant,"Il Campo, 50, 53100, Siena",43.3189895,11.3315883
Cuoricino,restaurant,"Il Campo, 37-38, 53100, Siena",43.3187056,11.3310399
Alla Speranza,restaurant,"Il Campo, 32-36, 53100, Siena",43.3186536,11.3309722
