Latitude,Longitude
43.189433,11.471407
43.190097,11.470968
43.190714,11.470288
43.1915,11.4688
43.194843,11.465628
43.196217,11.462247
43.198575,11.458468
43.20066,11.455744
43.200963,11.455147
43.201991,11.45538
43.207397,11.453197
43.208203,11.452545
43.211063,11.449516
43.21156,11.449378
43.213897,11.449533
43.216245,11.448701
43.218374,11.445508
43.219034,11.444977
43.220324,11.444376
43.221924,11.444498
43.222193,11.442351
43.226374,11.432564
43.228149,11.429549
43.228651,11.429036
43.229931,11.428408
43.230645,11.428554
43.237222,11.423096
43.237512,11.423495
43.238175,11.423464
43.242454,11.418026
43.243328,11.415766
43.243143,11.414997
43.243314,11.414827
43.247255,11.416492
43.249228,11.416634
43.250642,11.417664
43.25155,11.417304
43.252174,11.416656
43.252122,11.41801
43.252769,11.418754
43.253156,11.420647
43.254702,11.422201
43.25568,11.423822
43.256264,11.424215
43.25705,11.424257
43.258314,11.423816
43.259437,11.423903
43.259861,11.425145
43.262158,11.427988
43.262902,11.428091
43.263073,11.427974
43.263508,11.426582
43.265053,11.425301
43.266219,11.425763
43.266829,11.426383
43.267843,11.426205
43.268805,11.425673
43.269582,11.426
43.270135,11.426568
43.271179,11.426
43.271438,11.425617
43.272561,11.425471
43.27408,11.423187
43.275303,11.422523
43.275566,11.422519
43.27599,11.42304
43.277122,11.42339
43.278216,11.424147
43.279469,11.423801
43.279896,11.423529
43.280721,11.423819
43.281712,11.425156
43.282242,11.425471
43.283284,11.42479
43.284714,11.424578
43.28618,11.42308
43.286852,11.422092
43.287562,11.421954
43.288045,11.422635
43.288733,11.423032
43.290371,11.420327
43.292249,11.41594
43.293275,11.412563
43.29373,11.411516
43.294046,11.411288
43.294077,11.41079
43.295839,11.406696
43.295788,11.40581
43.294853,11.403352
43.295063,11.402914
43.295915,11.402111
43.295005,11.399213
43.294359,11.394949
43.294507,11.394272
43.294203,11.394101
43.293667,11.392607
43.292681,11.390629
43.293078,11.390203
43.292054,11.387974
43.291973,11.387056
43.291615,11.386092
