Latitude,Longitude,Street,City,Surface,Tracktype,Highway,Smoothness,OSM_Way_ID
43.075804,10.637357,Unbekannte Straße,Suvereto,unknown,,,,
43.076784,10.636425,Unbekannte Straße,Suvereto,unknown,,,,
43.077029,10.636557,Unbekannte Straße,Suvereto,unknown,,,,
43.077428,10.638832,Unbekannte Straße,Suvereto,unknown,,,,
43.078198,10.640259,Unbekannte Straße,Suvereto,unknown,,,,
43.078468,10.640260,Sentiero 3,Suvereto,unknown,,,,
43.078638,10.640004,Sentiero 3,Suvereto,unknown,,,,
43.079562,10.637637,Sentiero 3,Suvereto,unknown,,,,
43.079844,10.637744,Sentiero 3,Suvereto,unknown,,,,
43.080831,10.640031,Sentiero 3,Suvereto,unknown,,,,
43.081406,10.640428,Sentiero 3,Suvereto,unknown,,,,
43.081846,10.640477,Sentiero 3,Suvereto,unknown,,,,
43.082403,10.640303,Sentiero 3,Suvereto,unknown,,,,
43.083189,10.639359,(sentiero 3) trekking,Suvereto,unknown,,,,
43.083318,10.639001,(sentiero 3) trekking,Suvereto,unknown,,,,
43.084029,10.639596,(sentiero 3) trekking,Suvereto,unknown,,,,
43.085391,10.639860,(sentiero 3) trekking,Suvereto,unknown,,,,
43.086125,10.639350,(sentiero 3) trekking,Suvereto,unknown,,,,
43.085654,10.640283,(sentiero 3) trekking,Suvereto,unknown,,,,
43.085592,10.641755,(sentiero 3) trekking,Suvereto,unknown,,,,
43.085118,10.643877,(sentiero 3) trekking,Suvereto,unknown,,,,
43.085388,10.643858,(sentiero 3) trekking,Suvereto,unknown,,,,
43.085786,10.643410,(sentiero 3) trekking,Suvereto,unknown,,,,
43.086211,10.643350,(sentiero 3) trekking,Suvereto,unknown,,,,
43.085632,10.644937,Località Le Foreste,Suvereto,unknown,,,,
43.084934,10.646066,Località Le Foreste,Suvereto,unknown,,,,
43.084245,10.646841,Località Le Foreste,Suvereto,unknown,,,,
43.083787,10.648458,Località Le Foreste,Suvereto,unknown,,,,
43.082665,10.650359,Località Il Fiaccone,Suvereto,unknown,,,,
43.082585,10.651485,Località Il Fiaccone,Suvereto,unknown,,,,
43.083436,10.652789,Località Il Fiaccone,Suvereto,unknown,,,,
43.083437,10.653699,Località Il Fiaccone,Suvereto,unknown,,,,
43.083145,10.655393,Località Il Fiaccone,Suvereto,unknown,,,,
43.082498,10.656146,Località Il Fiaccone,Suvereto,unknown,,,,
43.081893,10.656435,Località Il Fiaccone,Suvereto,unknown,,,,
43.081661,10.657399,Località Il Fiaccone,Suvereto,unknown,,,,
43.078390,10.658581,Località Il Fiaccone,Suvereto,unknown,,,,
43.074969,10.659374,Località Il Fiaccone,Suvereto,unknown,,,,
43.074932,10.664271,Località Il Fiaccone,Suvereto,unknown,,,,
43.074431,10.665123,Località Il Fiaccone,Suvereto,unknown,,,,
43.074419,10.666354,Località Quattrino,Suvereto,unknown,,,,
43.074556,10.666955,Località Quattrino,Suvereto,unknown,,,,
43.075238,10.667923,Località Quattrino,Suvereto,unknown,,,,
43.075349,10.668881,Località Quattrino,Suvereto,unknown,,,,
43.075793,10.669486,Località Quattrino,Suvereto,unknown,,,,
43.076040,10.670235,Località Quattrino,Suvereto,unknown,,,,
