Statistik,Wert
Gesamtdistanz (km),68.71
Minimalhöhe (m),139.00
Maximalhöhe (m),492.60
Gesamter Aufstieg (m),1026.10
Gesamter Abstieg (m),1181.80
Gesamtdauer,0 days 05:46:35
Pausenzeit,0 days 00:00:00
Bewegungszeit,0 days 05:46:35
Ø Geschwindigkeit (km/h),11.90
Ø Geschw. in Bewegung (km/h),11.90
