Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center,Nächster_Punkt_Index,Nächster_Punkt_Distanz_km,Nächster_Punkt_Hoehe_m,Distanz_Center_zu_Route_m
Campiglia Marittima,85,,43.061,10.615,84,4.883,212.800,15.136
Suvereto,110,,43.079,10.679,456,15.058,70.300,260.732
Follonica,21,,42.926,10.762,996,46.077,5.400,796.596
Puntone di Scarlino,26,,42.889,10.791,1096,50.349,6.800,45.711
Castiglione della Pescaia,173,,42.764,10.879,1649,74.768,6.400,186.215
