Ort,Vorkommen,Strecke im Ort (km)
Montecatini Val di Cecina,239,
Pomarance,154,
Canneto,69,
Monteverdi Marittimo,71,
Monterotondo Marittimo,10,
Suvereto,43,
Campiglia Marittima,30,
