Ort,Vorkommen,Strecke im Ort (km)
Campiglia Marittima,85,
Suvereto,110,
Follonica,21,
Piombino,41,
Scarlino,71,
Puntone di Scarlino,26,
Castiglione della Pescaia,173,
Vetulonia,11,
Buriano,2,
