Ort,Vorkommen,Strecke im Ort (km),Latitude_Center,Longitude_Center,Nächster_Punkt_Index,Nächster_Punkt_Distanz_km,Nächster_Punkt_Hoehe_m,Distanz_Center_zu_Route_m
Monteriggioni,97,,43.390,11.224,422,14.853,271.300,15.501
Strove,37,,43.380,11.172,584,21.113,274.400,3.624
San Gimignano,64,,43.468,11.043,1166,46.084,289.200,499.073
