Ort,Vorkommen,Strecke im Ort (km)
Castiglione della Pescaia,173,
Suvereto,110,
Campiglia Marittima,85,
Scarlino,71,
Piombino,41,
Puntone di Scarlino,26,
Follonica,21,
Vetulonia,11,
Buriano,2,
