Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
Ai Fusari Bistrot,restaurant,"Via dei Fusari, 26, 53100, Siena",43.318034,11.328437,,244
Ristorante Al Mangia,restaurant,"Il Campo, 43, 53100, Siena",43.318832,11.331253,,34
Caffè L'Accademia,cafe,"Via di Città, 103, 53100, Siena",43.316844,11.330575,,218
Drinking_water,drinking_water,Adresse unbekannt,43.317287,11.332640,,261
Cor Magis,cafe,"Via del Porrione, 3, 53100, Siena",43.318610,11.332707,,197
Il Bandierino,restaurant,"Il Campo, 64;66, 53100, Siena",43.318823,11.332406,,161
Panificio Sclavi,bakery,"Il Campo, 56, 53100, Siena",43.319031,11.331893,,104
Manganelli,restaurant,"Il Campo, 54, 53100, Siena",43.319010,11.331721,,85
Il Campo,restaurant,"Il Campo, 50, 53100, Siena",43.318990,11.331588,,70
Cuoricino,restaurant,"Il Campo, 37-38, 53100, Siena",43.318706,11.331040,,25
Alla Speranza,restaurant,"Il Campo, 32-36, 53100, Siena",43.318654,11.330972,,26
Caffè A. Nannini,cafe,"Il Campo, 33, 53100, Siena",43.318596,11.330929,,28
Bibò,cafe,"Via Banchi di Sotto, 63, 53100, Siena",43.318978,11.333318,,262
Trefilari Wine Bar,cafe,"Via Banchi di Sotto, 51, 53100, Siena",43.319203,11.332552,,179
Il Cavallino Bianco,restaurant,"Via di Città, 20, 53100, Siena",43.318986,11.330982,,6
Nuovo Caffè Greco,cafe,"Via di Città, 24, 53100, Siena",43.318932,11.330889,,4
Caffetteria Torrefazione Fiorella,cafe,"Via di Città, 13, 53100, Siena",43.318787,11.330878,,8
Caffe A. Nannini,cafe,"Il Campo, 57, 53100, Siena",43.318990,11.332007,,116
Tre Cristi Enoteca Ristorante,restaurant,"Vicolo di Provenzano, 1, 53100, Siena",43.321541,11.332730,,256
Osteria al Palchetto,restaurant,"53100, Siena",43.318544,11.333176,,250
Caffè La Piazzetta,cafe,"Via dei Montanini, 52, 53100, Siena",43.321808,11.329748,,4
Caffè del Corso,cafe,"Banchi di Sopra, 25, 53100, Siena",43.319601,11.331238,,40
Pizzeria Alle Scalette,restaurant,"Viale Curtatone, 18, 53100, Siena",43.321424,11.328276,,129
La Locanda dei Tintori,restaurant,"Via dei Pittori, 13, 53100, Siena",43.320151,11.329683,,94
In Carrozza,restaurant,"Vicolo delle Carrozze, 1, 53100, Siena",43.318391,11.328569,,215
Casa Tua,restaurant,"34, 53100, Siena",43.317620,11.332879,,258
San Domenico,restaurant,"Via del Camporegio, 17, 53100, Siena",43.320197,11.328306,,213
Compagnia dei Vinattieri,restaurant,"Via delle Terme, 79, 53100, Siena",43.320261,11.330137,,50
Caffè 19zero3,cafe,"18;19;20, 53100, Siena",43.317636,11.332175,,197
Osteria Le Sorelline,restaurant,"Via dei Rossi, 76, 53100, Siena",43.321736,11.332438,,230
Tigella Emilia,restaurant,"Via dei Rossi, 65, 53100, Siena",43.321549,11.331889,,166
Il Sasso,restaurant,"Via dei Rossi, 2, 53100, Siena",43.320706,11.331211,,76
Forno Sclavi,bakery,"53100, Siena",43.316348,11.330014,,284
Ri.Me.,restaurant,"Via Giovanni Duprè, 90, 53100, Siena",43.316346,11.331786,,294
Sclavi 1949,cafe,Adresse unbekannt,43.319013,11.331944,,110
savelli,restaurant,Adresse unbekannt,43.318850,11.332323,,152
Piripi Pizza Urban Food,restaurant,"Via dei Rossi, 69, 53100, Siena",43.321631,11.332002,,180
Conad City,supermarket,"Viale Curtatone, 16, 53100, Siena",43.321360,11.328214,,139
La Favorita,restaurant,"32, 53100, Siena",43.321910,11.328628,,62
Bruscello Bistrò,restaurant,"Via della Stufa Secca, 1, 53100, Siena",43.322154,11.329828,,40
Vineria al Canape,restaurant,"Piazza Indipendenza, 1, 53100, Siena",43.319330,11.330287,,36
Enoteca I Terzi,restaurant,"Via dei Termini, 7, 53100, Siena",43.319412,11.330778,,11
Drinking_water,drinking_water,Adresse unbekannt,43.319293,11.330339,,29
Ristorante Campo Cedro,restaurant,"Via Pian d'Ovile, 54, 53100, Siena",43.322215,11.330598,,96
Drinking_water,drinking_water,Adresse unbekannt,43.323156,11.330716,,188
Conad City,supermarket,"Via di Città, 99, 53100, Siena",43.316948,11.330671,,205
TAZ,restaurant,"25, 53100, Siena",43.321330,11.328406,,128
Bar Siena,cafe,"Via Malavolti, 4, 53100, Siena",43.322077,11.328742,,40
Penny,supermarket,"17, 53100, Siena",43.320853,11.328827,,138
Bar Pasticceria Nannini Posta,cafe,"28, 53100, Siena",43.321378,11.328354,,128
Ristorante San Desiderio,restaurant,"2, 53100, Siena",43.318050,11.330177,,105
Ristorante Osteria Bonelli,restaurant,"3;5, 53100, Siena",43.317965,11.330153,,114
Ristorante Pier Pettinaio,restaurant,"Vicolo Beato Pier Pettinaio, 7, 53100, Siena",43.319584,11.331118,,27
Caffe' Fiaschetteria Il Pulcino,restaurant,"Via dei Termini, 91, 53100, Siena",43.321157,11.329713,,44
Bar San Domenico,cafe,"1, 53100, Siena",43.320559,11.327070,,288
NaturHouse Siena Centro,supermarket,"Via Vallerozzi, 18, 53100, Siena",43.321890,11.330548,,66
Filuse',restaurant,"Via Vallerozzi, 53100, Siena",43.322140,11.330830,,107
Tuscany Food Experience,restaurant,"Vicolo della Manna, 1, 53100, Siena",43.317984,11.333040,,254
Bar Porrione B&B,cafe,"Via del Porrione, 14, 53100, Siena",43.318505,11.332732,,202
Restaurant,restaurant,"Via Rinaldini, 12, 53100, Siena",43.318869,11.332503,,171
Un Tubo,cafe,"Vicolo del Luparello, 2, 53100, Siena",43.318078,11.333491,,296
Giulia La Torre Restaurant,restaurant,"Via delle Terme, 5, 53100, Siena",43.318858,11.330547,,7
Caffè Independenza,cafe,"9, 53100, Siena",43.318928,11.330428,,7
Caffetteria Diacceto,restaurant,"Via di Diacceto, 14, 53100, Siena",43.318978,11.329942,,52
Du' Cose da Berna,restaurant,"Via di Diacceto, 9;11, 53100, Siena",43.318817,11.329921,,58
CiacciaCucina,restaurant,"Via delle Terme, 18, 53100, Siena",43.319386,11.330279,,41
Ristorante Il Tufo,restaurant,"15, 53100, Siena",43.318138,11.331019,,78
Ristorante Pizzeria Il Mulino,restaurant,"15, 53100, Siena",43.318039,11.331083,,91
Le Campane,restaurant,"Via delle Campane, 6, 53100, Siena",43.317882,11.330489,,106
ChigianArtCafè,cafe,"Via di Città, 89, 53100, Siena",43.317216,11.330892,,176
Osteria da Salvini,restaurant,"Via di Città, 122, 53100, Siena",43.317095,11.330626,,189
Ristorante Numero Unico,restaurant,"Via di Città, 125, 53100, Siena",43.316474,11.330155,,266
Bar TERMINI,cafe,"Via dei Termini, 43, 53100, Siena",43.320175,11.330625,,7
Òsteria Il Cancellino,restaurant,"Via dei Fusari, 10;16, 53100, Siena",43.318122,11.328666,,217
Casato Ristorante Wine Bar,restaurant,"Casato di Sotto, 18;26, 53100, Siena",43.317622,11.331334,,145
Osteria Il Carroccio,restaurant,"Casato di Sotto, 32, 53100, Siena",43.317497,11.331378,,159
Antica Trattoria L'Aquila,restaurant,"Casato di Sotto, 58, 53100, Siena",43.316949,11.331261,,212
Ristorante Shanghai,restaurant,"Via della Galluzza, 10, 53100, Siena",43.319271,11.329611,,92
Grotta Santa Caterina da Bagoga,restaurant,"Via della Galluzza, 26, 53100, Siena",43.319322,11.329567,,99
SchiacciaMangia,restaurant,"Via delle Donzelle, 1, 53100, Siena",43.319321,11.332228,,147
Restaurant,restaurant,"Via di Calzoleria, 16, 53100, Siena",43.319530,11.331828,,103
53100 Street Food & Wine,cafe,"Via Camollia, 170, 53100, Siena",43.326787,11.326066,,33
New York Cafe',cafe,"Via Giuseppe Garibaldi, 2, 53100, Siena",43.323844,11.328053,,5
Tia Loca,restaurant,"Via Ricasoli, 55, 53100, Siena",43.326862,11.323917,,138
Fonte Giusta,restaurant,"Via di Camollia, 102, 53100, Siena",43.325649,11.327237,,68
Osteria Pizzeria La Piana,restaurant,"Via Camollia, 122, 53100, Siena",43.326026,11.326729,,56
Drinking_water,drinking_water,Adresse unbekannt,43.327468,11.325883,,10
Drinking_water,drinking_water,Adresse unbekannt,43.323151,11.325612,,275
Prosciutteria Al Peccatore,restaurant,"Via Camollia, 132, 53100, Siena",43.326152,11.326575,,48
MadinItaly,restaurant,"Via Camollia, 138, 53100, Siena",43.326275,11.326463,,41
Drinking_water,drinking_water,Adresse unbekannt,43.325862,11.326917,,66
Berta,restaurant,"Via Camollia, 206, 53100, Siena",43.327351,11.325507,,19
Bar Caracas,cafe,"Via Camollia, 67, 53100, Siena",43.324752,11.327574,,15
Ristorante Il Salotto,restaurant,"Via Camollia, 34, 53100, Siena",43.324365,11.327897,,7
Osteria Kamollia,restaurant,"Via di Camollia, 102, 53100, Siena",43.325802,11.327020,,68
Nìu Pix Pokè Siena,restaurant,"Via Camollia, 71, 53100, Siena",43.324878,11.327518,,28
Camulio Pinseria,restaurant,"Via Camollia, 92/94, 53100, Siena",43.325535,11.327356,,56
Drinking_water,drinking_water,Adresse unbekannt,43.324270,11.328749,,93
Caffetteria Mario Pasticceria,cafe,"Viale Giuseppe Mazzini, 53100, Siena",43.327203,11.329635,,245
Drinking_water,drinking_water,Adresse unbekannt,43.325274,11.325565,,189
Antico Bar La Lizza,cafe,"Via del Sasso di San Bernardino, 7, 53100, Siena",43.322955,11.328145,,34
Selafino,restaurant,"Vicolo degli Umiliati, 1, 53100, Siena",43.324255,11.328220,,36
Bonucci Boulangerie,restaurant,"La Lizza, 14/17, 53100, Siena",43.323203,11.327986,,33
Ristorante da Enzo,restaurant,"Via Camollia, 49, 53100, Siena",43.324323,11.327754,,8
Pizzeria L'Egiziano,restaurant,"Via Camollia, 59, 53100, Siena",43.324429,11.327711,,8
Osteria Ficamaschia,restaurant,"Via Camollia, 101, 53100, Siena",43.325656,11.326991,,84
Quel Che Antico Bistrot,restaurant,"Costa dei Paparoni, 2, 53100, Siena",43.326022,11.326885,,50
Osteria Il Vinaio,restaurant,"Via Camollia, 167, 53100, Siena",43.326334,11.326222,,53
Spaghetteria Pasta Mondo,restaurant,"Via Camollia, 173, 53100, Siena",43.326467,11.326121,,49
Pizzeria da Carmine,restaurant,"Via Camollia, 192, 53100, Siena",43.327084,11.325869,,26
Bakery,bakery,"1, 53100, Siena",43.327296,11.325573,,21
Bar Pegaso,cafe,"Viale Giuseppe Mazzini, 81, 53100, Siena",43.327876,11.328723,,224
Pam,supermarket,"21, 53100, Siena",43.330632,11.323316,,239
Pasticceria Buti,cafe,"Viale Vittorio Emanuele Secondo, 53, 53100, Siena",43.328088,11.323770,,14
Snack Bar,cafe,"Viale Vittorio Emanuele II, 64, 53100, Siena",43.328916,11.322036,,11
Bar Perù,cafe,"Viale Vittorio Emanuele Secondo, 9, 53100, Siena",43.327772,11.324708,,15
Drinking_water,drinking_water,Adresse unbekannt,43.328504,11.322559,,11
Capricci di Pizza,restaurant,"Viale Vittorio Emanuele Secondo, 5, 53100, Siena",43.327694,11.324955,,14
Ravioli Wang,restaurant,"Viale Vittorio Emanuele Secondo, 38, 53100, Siena",43.328486,11.323263,,10
Bar Impero,cafe,"Viale Vittorio Emanuele Secondo, 10, 53100, Siena",43.328264,11.324008,,12
I Gabellieri,restaurant,"Viale Vittorio Emanuele Secondo, 75, 53100, Siena",43.328689,11.321627,,31
Komori Sushi,restaurant,"Viale Vittorio Emanuele Secondo, 30, 53100, Siena",43.328368,11.323663,,11
S. Rosalia,bakery,"Viale Vittorio Emanuele Secondo, 53100, Siena",43.327829,11.324536,,15
Nannini,cafe,"Viale Vittorio Emanuele Secondo, 9, 53100, Siena",43.327722,11.324862,,15
Anima Toscana Bike Tours,bicycle,"Viale Vittorio Emanuele Secondo, 67, 53100, Siena",43.328590,11.321958,,24
POKE INN,restaurant,"Viale Vittorio Emanuele Secondo, 69, 53100, Siena",43.328633,11.321831,,26
Pizzeria Antiporto,restaurant,"Viale Camillo Benso di Cavour, 27, 53100, Siena",43.329251,11.320582,,13
All'Osteria,restaurant,"Viale Camillo Benso di Cavour, 7, 53100, Siena",43.329094,11.320913,,15
Siena Bike Shop,bicycle,"Via Nino Bixio, 30, 53100, Siena",43.328474,11.327785,,221
Bar Pegaso,cafe,"Viale Giuseppe Mazzini, 129, 53100, Siena",43.329083,11.327134,,235
Conad City,supermarket,"Viale Goffredo Mameli, 60;62, 53100, Siena",43.329884,11.317645,,91
Charlie Mixology Bar,cafe,"Viale Camillo Benso di Cavour, 58, 53100, Siena",43.330133,11.319218,,9
Bar Ciompi,cafe,"Via Mentana, 88, 53100, Siena",43.330900,11.314219,,136
Bar Eden,cafe,"Viale Camillo Benso di Cavour, 202, 53100, Siena",43.332097,11.314916,,8
Bar CEcco,cafe,"Viale Camillo Benso di Cavour, 248, 53100, Siena",43.332356,11.313472,,15
La Piccola Osteria,restaurant,"Viale Camillo Benso di Cavour, 81, 53100, Siena",43.329910,11.319169,,14
Bar Mens Sana,cafe,"53100, Siena",43.333609,11.313214,,149
Capricci di Pizza,restaurant,"Viale Camillo Benso di Cavour, 236, 53100, Siena",43.332339,11.313621,,15
E-Bike Travel Siena,bicycle,"Via Mentana, 38, 53100, Siena",43.330957,11.313938,,133
Ristorante La Limonaia,restaurant,"Via Custoza, 2, 53100, Siena",43.330039,11.311534,,268
Willy's,restaurant,"Viale Achille Sclavo, 33, 53100, Siena",43.334033,11.310456,,45
Ristorante Pizzeria Il Jolly,restaurant,"Via Fiorentina, 13, 53100, Siena",43.334817,11.308878,,17
La Strana Coppia,restaurant,"Via Celso Cittadini, 6, 53100, Siena",43.336175,11.306831,,111
Coop.fi,supermarket,"Via Celso Cittadini, 64, 53100, Siena",43.337141,11.305865,,148
Drinking_water,drinking_water,Adresse unbekannt,43.341393,11.305221,,85
