Name,Typ,Adresse,Latitude,Longitude,Elevation,Entfernung_m
La Fortuna,restaurant,"Bramfelder Chaussee, 306, 22177, Hamburg",53.617612,10.079259,,52
Marco’s Bistro de Glamour,cafe,"Bramfelder Dorfplatz, 4 A, 22179, Hamburg",53.613719,10.077010,,115
Cozymir,cafe,"Bramfelder Dorfplatz, 10, 22179, Hamburg",53.613154,10.077321,,178
PENNY,supermarket,"Bramfelder Chaussee, 291, 22177, Hamburg",53.617276,10.077631,,25
Gazelle e-bike store,bicycle,Adresse unbekannt,53.618063,10.079426,,22
Sandal Fisch Grill Haus,restaurant,Adresse unbekannt,53.615824,10.076330,,27
Bramfelder Wirtshaus,restaurant,"Bramfelder Chaussee, 361, 22175, Hamburg",53.620710,10.081619,,35
EDEKA,supermarket,"Bramfelder Chaussee, 322, 22177, Hamburg",53.618726,10.080706,,39
Rohlfs Bäckerei,bakery,"Bramfelder Chaussee, 324, 22177, Hamburg",53.618784,10.080657,,31
Drinking_water,drinking_water,Adresse unbekannt,53.626006,10.083199,,219
Das Frühstückszimmer,cafe,"Bramfelder Drift, 20, 22175, Hamburg",53.630252,10.086516,,97
Soul Sushi Sasel,restaurant,"Saseler Chaussee, 63, 22391, Hamburg",53.638378,10.094019,,22
Banoo,restaurant,"Saseler Chaussee, 88, 22391, Hamburg",53.642993,10.098954,,24
China Ente Sasel,restaurant,"Saseler Chaussee, 88a, 22391, Hamburg",53.643047,10.099114,,32
Taj,restaurant,"Stadtbahnstraße, 39d, 22393, Hamburg",53.652982,10.103402,,291
Café Pause,cafe,Adresse unbekannt,53.654608,10.109802,,180
Eisliebe,cafe,"Wohldorfer Damm, 10, 22395, Hamburg",53.672625,10.126132,,34
Braaker Mühle,bakery,Adresse unbekannt,53.670352,10.126551,,191
Tapiro D'Oro,restaurant,"Bergstedter Markt, 1, 22395, Hamburg",53.671010,10.124589,,41
Zum Bäcker,restaurant,"Herrenhausallee, 9, 22397, Hamburg",53.709980,10.131968,,188
Wohldorfer Mühle,restaurant,"Mühlenredder, 38",53.709937,10.130157,,25
Bäckerei Hinze,bakery,Adresse unbekannt,53.709963,10.131698,,177
Waldesruh / Wilhelm,restaurant,Adresse unbekannt,53.748366,10.173942,,20
Lieblings,restaurant,"Waldweg, 6",53.762916,10.185118,,262
Café Vogelsand,bakery,"Mittelweg, 5, 23863, Bargfeld-Stegen",53.767255,10.186405,,12
Frischemarkt Märkl,supermarket,"Kayhuder Straße, 2, 23863, Bargfeld-Stegen",53.766629,10.186654,,46
Landbäckerei Matthiessen,bakery,"Am Markt, 2, 23867, Sülfeld",53.800177,10.231930,,9
Eiscafe Jella,cafe,Adresse unbekannt,53.799824,10.230505,,98
Kühl´s Restaurant,restaurant,Adresse unbekannt,53.803223,10.274518,,16
Drinking_water,drinking_water,Adresse unbekannt,53.836940,10.298594,,151
Zum Keglertreff,restaurant,Adresse unbekannt,53.920954,10.321540,,26
Park-Cafe,cafe,"Rosenstraße, 33-35, 23795, Bad Segeberg",53.925849,10.318640,,113
Florian Ritzki,restaurant,"Lübecker Landstraße, 18, 23795, Bad Segeberg",53.931538,10.325421,,256
Bäckerei Schmidt,bakery,Adresse unbekannt,54.015660,10.572470,,77
Von Allwörden,bakery,Adresse unbekannt,54.047958,10.746450,,238
Café-Häuschen,cafe,"Strandallee, 17, 23683, Scharbeutz",54.050283,10.751403,,278
Janny's Eis,cafe,Adresse unbekannt,54.051716,10.752177,,114
Seßelberg,bakery,"Strandallee, 5, 23683, Scharbeutz",54.051617,10.752133,,126
Strand Café,cafe,"Strandallee, 6, 23683, Scharbeutz",54.051446,10.752044,,145
Corfu,restaurant,Adresse unbekannt,54.051838,10.752252,,100
Vista Mare,restaurant,"23683, Scharbeutz",54.051157,10.751822,,178
Kafferösterei,cafe,Adresse unbekannt,54.051350,10.751938,,156
Ocean's,restaurant,Adresse unbekannt,54.052115,10.752822,,51
Brede,bakery,"Bahnhofstraße, 15, 23683, Scharbeutz",54.052745,10.748126,,144
Fischbrötchen .....Bistro..... Räucherfisch,restaurant,"Strandallee, 5, 23683, Scharbeutz",54.051779,10.752248,,106
Buhne 15,restaurant,Adresse unbekannt,54.050506,10.751272,,254
Weltumsegler,restaurant,Adresse unbekannt,54.075192,10.777714,,111
Cafeteria,cafe,Adresse unbekannt,54.074510,10.777375,,110
Drinking_water,drinking_water,Adresse unbekannt,54.074450,10.777385,,112
Birdie's,restaurant,"Gutshof, 9, 23730, Sierksdorf",54.081928,10.773615,,291
Wintershagen Gutshofcafé,cafe,"Gutshof, 9, 23730, Sierksdorf",54.081872,10.773619,,291
Rewe,supermarket,"Sierksdorfer Straße, 8, 23730, Neustadt in Holstein",54.097155,10.790180,,103
Ambrosia,restaurant,Adresse unbekannt,54.105989,10.809832,,56
Gemütlich Essen & Trinken,restaurant,Adresse unbekannt,54.106515,10.809506,,8
Eiscafe Vicino,cafe,"Untere Querstraße, 3, 23730, Neustadt in Holstein",54.107094,10.810495,,44
Nahkauf,supermarket,"Am Markt, 10, 23730, Neustadt in Holstein",54.107557,10.813344,,270
Mien Backstuuv,bakery,"Brückstraße, 2, 23730, Neustadt in Holstein",54.107225,10.813606,,230
KaffeeWestseite,cafe,"Bahnhofstraße, 16, 23730, Neustadt in Holstein",54.103997,10.807853,,245
Ristorante Vicino,restaurant,"Untere Querstraße, 3, 23730, Neustadt in Holstein",54.107129,10.810465,,49
Pizzeria La Piccola,restaurant,"Waschgrabenstraße, 5, 23730, Neustadt in Holstein",54.106826,10.814935,,161
Jinder's Pizza Service,restaurant,Adresse unbekannt,54.109913,10.816661,,214
Golden Leaf,cafe,"Hochtorstraße, 7, 23730, Neustadt in Holstein",54.107284,10.815744,,191
Brocks Café & Bar,cafe,"Am Markt, 6, 23730, Neustadt in Holstein",54.107377,10.815022,,220
Bäckerei Seßelberg,bakery,"Am Markt, 7, 23730, Neustadt in Holstein",54.107299,10.814965,,212
Pizzeria Rana,restaurant,Adresse unbekannt,54.105615,10.814824,,31
bei Marco,restaurant,"Dr.-Julius-Stinde-Straße, 2a, 23738, Lensahn",54.214178,10.880865,,176
LaRia,restaurant,"Lübecker Straße, 28, 23738, Lensahn",54.214549,10.882301,,36
EDEKA Jens,supermarket,"Eutiner Straße, 11, 23738, Lensahn",54.219781,10.884745,,156
Mien Backstuuv,bakery,"Eutiner Straße, 11, 23738, Lensahn",54.219856,10.884859,,170
Zweirad Hartje,bicycle,"Schuhstraße, 99, 23758, Oldenburg in Holstein",54.286875,10.880748,,21
REWE,supermarket,"Kieler Chaussee, 4a, 23758, Oldenburg in Holstein",54.287593,10.877718,,245
Landbäckerei - Unser Norden Landbäcker,bakery,"Kieler Chaussee, 4a, 23758, Oldenburg in Holstein",54.287582,10.877509,,260
Netto,supermarket,"Holsteiner Straße, 2, 23758, Oldenburg in Holstein",54.290794,10.887601,,38
Akropolis,restaurant,"Markt, 4, 23758, Oldenburg in Holstein",54.291395,10.886295,,147
Landbäckerei Puck,bakery,"Holsteiner Straße, 2, 23758, Oldenburg in Holstein",54.290928,10.887737,,48
Grillmaster,restaurant,Adresse unbekannt,54.289288,10.883958,,81
Edeka,supermarket,"Göhler Straße, 7, 23758, Oldenburg in Holstein",54.291090,10.891642,,92
Modrücker's Restaurant,restaurant,"Kuhtorstraße, 3, 23758, Oldenburg in Holstein",54.291794,10.888487,,129
Insel-Bäckerei,bakery,"Markt, 28, 23758, Oldenburg in Holstein",54.291592,10.887383,,129
Mephisto,restaurant,"Markt, 9, 23758, Oldenburg in Holstein",54.291946,10.886259,,206
Stadtcafe,cafe,"Markt, 8, 23758, Oldenburg in Holstein",54.291876,10.886287,,198
Bio-Markt,supermarket,"Schauenburger Straße, 5, 23758, Oldenburg in Holstein",54.290725,10.889722,,29
von Allwörden,bakery,"Göhler Straße, 7, 23758, Oldenburg in Holstein",54.291089,10.891330,,88
Keglerheim,restaurant,"Meiereiweg, 12, 23758, Oldenburg in Holstein",54.288170,10.892944,,212
Pola Pola,restaurant,"Lankenstraße, 1a, 23758, Oldenburg in Holstein",54.289528,10.890382,,96
Insel-Bäckerei,cafe,"Markt, 28, 23758, Oldenburg in Holstein",54.291558,10.887288,,129
Aldi,supermarket,"Göhler Straße, 5, 23758, Oldenburg in Holstein",54.291008,10.890423,,67
La Trattoria,restaurant,"Kuhtorstraße, 1, 23758, Oldenburg in Holstein",54.291864,10.887716,,148
Cafe Leselampe,cafe,Adresse unbekannt,54.291785,10.889546,,142
Edeka Jens,supermarket,"Strandstraße, 1b, 23775, Großenbrode",54.368345,11.084198,,84
Restaurant,restaurant,Adresse unbekannt,54.367554,11.085119,,216
Puck,bakery,Adresse unbekannt,54.370272,11.084157,,21
Restaurant Großenbrode,restaurant,Adresse unbekannt,54.373082,11.086214,,157
Café MeerZeit,cafe,"Fehmarnsund, 13, 23769, Fehmarn",54.403859,11.121483,,20
Ornithologischer Beobachtungsstand Totholzbiotop,viewpoint,N/A,54.016348,10.528885,,1924
Ornithologischer Beoabachtungsstand,viewpoint,N/A,54.007030,10.540942,,548
,viewpoint,N/A,54.294610,10.886186,,489
Blick Bad Oldesloe,viewpoint,N/A,53.818744,10.254382,,2242
,viewpoint,N/A,54.031826,10.711237,,436
Vogelbeobachtung,viewpoint,N/A,53.799557,10.259454,,283
,viewpoint,N/A,53.724122,10.178986,,2285
,viewpoint,N/A,53.719634,10.164954,,2095
,viewpoint,N/A,53.721003,10.169485,,2117
,viewpoint,N/A,53.721640,10.170982,,2097
,viewpoint,N/A,53.722189,10.179933,,2521
,viewpoint,N/A,53.668653,10.098487,,1804
,viewpoint,N/A,54.033154,10.753548,,2032
Aussichtsturm,viewpoint,N/A,54.208523,10.886982,,705
,viewpoint,N/A,53.668332,10.112335,,895
,viewpoint,N/A,53.872656,10.298610,,114
,viewpoint,N/A,53.935713,10.316844,71.980000,582
Spechserholz,viewpoint,N/A,54.020009,10.595322,,730
Wallanlage,viewpoint,N/A,54.018396,10.619591,,1917
,viewpoint,N/A,53.729394,10.170469,,1286
Flörkendorfer Teich,viewpoint,N/A,53.999358,10.579599,,2051
,viewpoint,N/A,53.651018,10.145194,,2960
,viewpoint,N/A,53.950396,10.339369,,1161
,viewpoint,N/A,53.599344,10.026973,,2636
,viewpoint,N/A,53.567808,10.015255,,1052
,viewpoint,N/A,54.051353,10.718139,,1353
Kattenberg,viewpoint,N/A,54.024540,10.501302,,2807
,viewpoint,N/A,53.534384,10.022865,,2005
Himmelsberg,viewpoint,N/A,53.537943,10.016164,,1926
,viewpoint,N/A,53.535607,10.023911,,1851
,viewpoint,N/A,53.538450,10.013271,,2083
,viewpoint,N/A,53.567062,10.002204,,2457
,viewpoint,N/A,53.567538,10.002372,,2445
,viewpoint,N/A,53.546042,10.002104,,2735
,viewpoint,N/A,53.802898,10.255266,,555
Landschaftsturm,viewpoint,N/A,53.626862,10.057219,,2476
,viewpoint,N/A,54.294688,10.884782,,486
Lighthouse Zero,viewpoint,N/A,53.538402,10.004113,,2872
